21:08:20.756 INFO [qtp1805067756-83]: Updated Metadata information for placement ( 1004 on 6 )
21:24:14.794 INFO [qtp1805067756-198]: Updated Metadata information for placement ( 1004 on 7 )
21:25:15.059 WARN [HttpDispatcher-124]: There is a running transaction associated with this connection org.polypheny.db.avatica.PolyphenyDbConnectionHandle@d1193eb9
21:25:15.059 WARN [HttpDispatcher-124]: Rollback transaction org.polypheny.db.transaction.TransactionImpl@8c686e11
21:25:42.680 INFO [pool-7-thread-1]: Queue --> 0 
21:25:42.822 INFO [pool-7-thread-1]: Queue --> 0 
21:25:42.968 INFO [pool-7-thread-1]: Queue --> 1 
21:25:43.035 INFO [pool-7-thread-1]: Queue --> 0 
21:25:43.335 INFO [pool-7-thread-1]: Queue --> 2 
21:25:43.428 INFO [pool-7-thread-1]: Queue --> 1 
21:25:43.487 INFO [pool-7-thread-1]: Queue --> 1 
21:25:43.580 INFO [pool-7-thread-1]: Queue --> 0 
21:25:43.695 INFO [pool-7-thread-1]: Queue --> 1 
21:25:43.768 INFO [pool-7-thread-1]: Queue --> 0 
21:25:43.858 INFO [pool-7-thread-1]: Queue --> 0 
21:25:44.050 INFO [pool-7-thread-1]: Queue --> 1 
21:25:44.145 INFO [pool-7-thread-1]: Queue --> 0 
21:25:44.268 INFO [pool-7-thread-1]: Queue --> 1 
21:25:44.336 INFO [pool-7-thread-1]: Queue --> 0 
21:25:44.389 INFO [pool-7-thread-1]: Queue --> 0 
21:25:44.586 INFO [pool-7-thread-1]: Queue --> 1 
21:25:44.679 INFO [pool-7-thread-1]: Queue --> 0 
21:25:44.802 INFO [pool-7-thread-1]: Queue --> 1 
21:25:44.879 INFO [pool-7-thread-1]: Queue --> 0 
21:25:44.977 INFO [pool-7-thread-1]: Queue --> 0 
21:25:45.165 INFO [pool-7-thread-1]: Queue --> 1 
21:25:45.265 INFO [pool-7-thread-1]: Queue --> 1 
21:25:45.346 INFO [pool-7-thread-1]: Queue --> 1 
21:25:45.409 INFO [pool-7-thread-1]: Queue --> 0 
21:25:45.551 INFO [pool-7-thread-1]: Queue --> 0 
21:25:45.718 INFO [pool-7-thread-1]: Queue --> 1 
21:25:45.813 INFO [pool-7-thread-1]: Queue --> 1 
21:25:45.884 INFO [pool-7-thread-1]: Queue --> 0 
21:25:46.045 INFO [pool-7-thread-1]: Queue --> 1 
21:25:46.142 INFO [pool-7-thread-1]: Queue --> 1 
21:25:46.235 INFO [pool-7-thread-1]: Queue --> 1 
21:25:46.315 INFO [pool-7-thread-1]: Queue --> 1 
21:25:46.377 INFO [pool-7-thread-1]: Queue --> 0 
21:25:46.548 INFO [pool-7-thread-1]: Queue --> 1 
21:25:46.640 INFO [pool-7-thread-1]: Queue --> 1 
21:25:46.720 INFO [pool-7-thread-1]: Queue --> 1 
21:25:46.787 INFO [pool-7-thread-1]: Queue --> 0 
21:25:46.900 INFO [pool-7-thread-1]: Queue --> 0 
